590090021U-108B,108B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.614198,3.162546
590090021U-108T,108T,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.614101,3.162754
590090021U-140A,140A,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.613190,3.164470
590090021U-143B,143B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.613364,3.164391
590090021U-26B,26B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.617297,3.161750
590090021U-60B,60B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.616356,3.161780
590090021U-61B,61B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.615027,3.161936
590090021U-64B,64B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.616145,3.161782
590090021U-80B,80B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.615286,3.161741
590090021U-80T,80T,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.615231,3.161744
590090021U-97B,97B,RUE DE L ABBE COUSIN,59491,Villeneuve-d'Ascq,OD,50.614196,3.162842
590090041R-12B,12B,RUE DE L ABBE LEMIRE,59491,Villeneuve-d'Ascq,OD,50.618826,3.163186
590090041R-5B,5B,RUE DE L ABBE LEMIRE,59491,Villeneuve-d'Ascq,OD,50.618967,3.163028
590090041R-80B,80B,RUE DE L ABBE LEMIRE,59491,Villeneuve-d'Ascq,OD,50.618243,3.169697
590090041R-88B,88B,RUE DE L ABBE LEMIRE,59491,Villeneuve-d'Ascq,OD,50.618517,3.170213
590090051B-523,523,BVD ALBERT 1ER,59491,Villeneuve-d'Ascq,OD,50.656825,3.141030
590090061M-53B,53B,RUE ALBERT SAMAIN,59491,Villeneuve-d'Ascq,OD,50.637656,3.146069
590090061M-87B,87B,RUE ALBERT SAMAIN,59491,Villeneuve-d'Ascq,OD,50.638172,3.147826
590090071Y-11B,11B,RUE ALEXANDRE DETROY,59491,Villeneuve-d'Ascq,OD,50.636266,3.127349
590090071Y-17B,17B,RUE ALEXANDRE DETROY,59491,Villeneuve-d'Ascq,OD,50.636178,3.126832
590090071Y-194B,194B,RUE ALEXANDRE DETROY,59491,Villeneuve-d'Ascq,OD,50.630959,3.129594
590090071Y-219B,219B,RUE ALEXANDRE DETROY,59491,Villeneuve-d'Ascq,OD,50.631278,3.129926
590090071Y-76B,76B,RUE ALEXANDRE DETROY,59491,Villeneuve-d'Ascq,OD,50.635280,3.126697
590090091V-18B,18B,RUE ALFRED DE VIGNY,59491,Villeneuve-d'Ascq,OD,50.656839,3.147204
590090091V-1B,1B,RUE ALFRED DE VIGNY,59491,Villeneuve-d'Ascq,OD,50.656506,3.146784
590090101F-19B,19B,RUE ANATOLE FRANCE,59491,Villeneuve-d'Ascq,OD,50.659415,3.137532
590090101F-19T,19T,RUE ANATOLE FRANCE,59491,Villeneuve-d'Ascq,OD,50.659482,3.138006
590090101F-1B,1B,RUE ANATOLE FRANCE,59491,Villeneuve-d'Ascq,OD,50.659900,3.136679
590090101F-2B,2B,RUE ANATOLE FRANCE,59491,Villeneuve-d'Ascq,OD,50.659872,3.136516
590090101F-8B,8B,RUE ANATOLE FRANCE,59491,Villeneuve-d'Ascq,OD,50.659685,3.136844
590090111S-16A,16A,RUE ANNE JOSEPHE DU BOURG,59491,Villeneuve-d'Ascq,OD,50.629739,3.140716
590090111S-2B,2B,RUE ANNE JOSEPHE DU BOURG,59491,Villeneuve-d'Ascq,OD,50.629201,3.139805
590090111S-2T,2T,RUE ANNE JOSEPHE DU BOURG,59491,Villeneuve-d'Ascq,OD,50.629370,3.139932
590090111S-48B,48B,RUE ANNE JOSEPHE DU BOURG,59491,Villeneuve-d'Ascq,OD,50.631186,3.141055
590090111S-8B,8B,RUE ANNE JOSEPHE DU BOURG,59491,Villeneuve-d'Ascq,OD,50.629678,3.140203
590090131N-25B,25B,RUE ANTOINE WATTEAU,59491,Villeneuve-d'Ascq,OD,50.619524,3.151121
590090137V-20B,20B,RUE ARISTIDE,59491,Villeneuve-d'Ascq,OD,50.617747,3.165807
590090141Z-2B,2B,RUL D ASCQ,59491,Villeneuve-d'Ascq,OD,50.626156,3.150282
590090151K-35B,35B,RUE AUGUSTE LEROUGE,59491,Villeneuve-d'Ascq,OD,50.640325,3.133630
590090165A-2B,2B,AVE DE L AVENIR,59491,Villeneuve-d'Ascq,OD,50.617734,3.125271
590090165A-2T,2T,AVE DE L AVENIR,59491,Villeneuve-d'Ascq,OD,50.617669,3.125138
590090171G-105B,105B,RUE DE BABYLONE,59491,Villeneuve-d'Ascq,OD,50.661538,3.144259
590090171G-13B,13B,RUE DE BABYLONE,59491,Villeneuve-d'Ascq,OD,50.656473,3.140263
590090171G-42B,42B,RUE DE BABYLONE,59491,Villeneuve-d'Ascq,OD,50.656613,3.140627
590090171G-521,521,RUE DE BABYLONE,59491,Villeneuve-d'Ascq,OD,50.656831,3.140891
590090171G-55Q,55Q,RUE DE BABYLONE,59491,Villeneuve-d'Ascq,OD,50.659458,3.141955
